Old Name,New Name,Approve (Y/N),Notes
Agar-agar powder,agar agar,,
Amino acids high conc.,amino acids high conc,,
Anti-D (Rho) immunoglobulins,anti d immunoglobulins,,
Beta sitosterol,b sitosterol,,
Bifidobacterium longum subsp. infantis,bifidobacterium longum subsp infantis,,
D-alpha tocopherol,alpha tocopherol,,
D-Alpha Tocopherol,alpha tocopherol,,
D-Alpha Tocopherol Acetate,alpha tocopherol acetate,,
Dl-alpha tocopherol,alpha tocopherol,,
DL-Alpha Tocopherol,alpha tocopherol,,
Ester-omega fish oil,ester omega fish,,
Fruit-peel,peel,,
Grapes,grape,,
Herbal extracts (lime blossom,herbal extracts lime blossom,,
L-ascorbic acid,ascorbic acid,,
L-Ascorbic acid,ascorbic acid,,
L-Ascorbic Acid,ascorbic acid,,
Large-leaf geiger tree,large geiger tree,,
Myo-inositol powder,myo inositol,,
N-acetyl cysteine,n acetylcysteine,,
N-Acetyl Cysteine,n acetylcysteine,,
Oats,oat,,
Oils (silicone,oils silicone,,
Phyto-extract,phyto,,
PMC-garlic oil,pmc garlic,,
Psyllium husks,psyllium husk,,
Rho(D) Human Immunoglobulin,rho human immunoglobulin,,
Sulfur ppt.,sulfur ppt,,
Valerian,valeriana,,
Vitamins (A,vitamins a,,
