Old Name,New Name,Approve (Y/N),Notes
 Senega extract,senega,,
Acai Extract,acai,,
Acerola Extract,acerola,,
Agar agar extract,agar agar,,
Agar agar liquid extract,agar agar liquid,,
Agar extract,agar,,
Algae extract,algae,,
Algae Extract,algae,,
Allantoin extract,allantoin,,
Allium cepa extract,allium cepa,,
Allium Sativum Bulb Extract,allium sativum,,
Alo vera extract,alo vera,,
Aloe barbadensis flower extract,aloe barbadensis,,
Aloe barbadensis leaf extract,aloe barbadensis,,
Aloe Barbadensis Leaf Extract,aloe barbadensis,,
Aloe extract,aloe,,
Aloe vera extract,aloe vera,,
Aloe Vera Extract,aloe vera,,
Aloe vera extract 5%,aloe vera,,
Aloe vera leaf extract,aloe vera,,
Aloe Vera Leaf Extract,aloe vera,,
Alovera extract,alovera,,
Althaea radicis extract,althaea radicis,,
Alum extract,alum,,
American ginseng extract,american ginseng,,
Amla extract,amla,,
Amla Extract,amla,,
Angelica extract,angelica,,
Anis fruit extract,anise,,
Anise extract,anise,,
Anise Extract,anise,,
Anthemis nobilis flower extract,anthemis nobilis,,
Antimicrobial herbal extract,antimicrobial herbal,,
Apple extract,apple,,
Apple Seed Extract,apple,,
Araucaria Angustifolia Seed Extract,araucaria angustifolia,,
Arctium lappa root extract,arctium lappa,,
Arnica extract,arnica,,
Arnica montana extract,arnica montana,,
Aromatic extract,aromatic,,
Aromatic plant extract,aromatic plant,,
Artichoke extract,artichoke,,
Astragalus Extract,astragalus,,
Astragalus root extract,astragalus,,
Astragalus root powder extract,astragalus,,
Avocado extract,avocado,,
Avocado Extract,avocado,,
Avocado soya bean extract,avocado soya bean,,
Bacopa extract,bacopa,,
Badam Fruit Extract,badam,,
Banana Extract,banana,,
Bear berry extract,bear berry,,
Bearberry extract,bearberry,,
Bearberry Extract,bearberry,,
Beetroot extract,beetroot,,
Beriberi extract,beriberi,,
Bilberry extract,bilberry,,
Bilberry powdered extract,bilberry powdered,,
Birch extract,birch,,
Birch Extract,birch,,
Bitter Melon Fruit Extract,bitter melon,,
Black cumin seed extract,black cumin,,
Black Elderberry Extract,black elderberry,,
Black pepper extract,black pepper,,
Black Pepper Extract,black pepper,,
Black seed extract,black,,
Black Seed Extract,black,,
Boldo Extract,boldo,,
Boswellia extract,boswellia,,
Boswellia Extract,boswellia,,
Boswellia serrata extract,boswellia serrata,,
Boswellia Serrata Extract,boswellia serrata,,
Boswellia Serrata Resin Extract,boswellia serrata resin,,
Broccoli extract,broccoli,,
Buchu extract,buchu,,
Burdock extract,burdock,,
Cactus Extract,cactus,,
Calendula extract,calendula,,
Calendula Extract,calendula,,
Calendula officinalis extract,calendula officinalis,,
Calendula Officinalis Extract,calendula officinalis,,
Camellia sinensis extract,camellia sinensis,,
Camellia Sinensis Extract,camellia sinensis,,
Camomile Extract,camomile,,
Camphor extract,camphor,,
Camphor Extract,camphor,,
Capsicum extract,capsicum,,
Caraway Extract,caraway,,
Carrot extract,carrot,,
Carrot Extract,carrot,,
Cats Claw Extract,cats claw,,
Caviar extract,caviar,,
Caviar Extract,caviar,,
Celandine extract,celandine,,
Celery Seed Extract,celery,,
Centella asiatica extract,centella asiatica,,
Centella Extract,centella,,
Cepa extract,cepa,,
Certrus sinesis oily extract,certrus sinesis oily,,
Chamomil extract,chamomil,,
Chamomile extract,chamomile,,
Chamomile Extract,chamomile,,
Chamomile flower extract,chamomile,,
Chamomilla recutita extract,chamomilla recutita,,
Chamomilla Recutita Extract,chamomilla recutita,,
Chelidonium rhizome extract,chelidonium rhizome,,
Chinese red ginseng extract,chinese red ginseng,,
Cimicifuga extract,cimicifuga,,
Cinnamon extract,cinnamon,,
Cinnamon Extract,cinnamon,,
Cistus incanus dry extract,cistus incanus dry,,
Citrus extract,citrus,,
Clandula extract,clandula,,
Clave Blood Protein Extract,clave blood protein,,
Clay extract,clay,,
Clove extract,clove,,
Clove Extract,clove,,
Cocoa extract,cocoa,,
