Old Name,New Name,Approve (Y/N),Notes
10-Hydroxystearic acid,hydroxystearic acid,,
2KCL,kcl,,
2QR,qr,,
3G2C Peptide Complex,c peptide complex,,
5-Hydroxytryptophan,hydroxytryptophan,,
5-Methyltetrahydrofolate,methyltetrahydrofolate,,
5-Methyltetrahydrofolic Acid,methyltetrahydrofolic acid,,
Acetyl Hexapeptide-3,acetyl hexapeptide,,
Belsil EG2,belsil eg,,
Benzophenone-3,benzophenone,,
Benzophenone-4,benzophenone,,
Ceteareth-20,ceteareth,,
Ceteareth-23,ceteareth,,
Coenzyme Q10,coenzyme q,,
CoQ10,coq,,
DC-7040,dc,,
Dragostate-11,dragostate,,
E1,e,,
Emulgin B2,emulgin b,,
Isosorbide 5-Mononitrate,isosorbide mononitrate,,
L-5-Methyltetrahydrofolate,methyltetrahydrofolate,,
Lactium-150,lactium,,
Laureth-3,laureth,,
Laureth-4,laureth,,
Laureth-7,laureth,,
Marine omega-3,marine omega,,
Mass Vit 20tab,mass vit tab,,
Menaquinone-7,menaquinone,,
Octapeptide-2,octapeptide,,
Oligopeptide-34,oligopeptide,,
Omega-3,omega,,
Omega-3 fatty acid,omega fatty acid,,
Omega-3 fatty acids,omega fatty acid,,
Omega-3 Fatty Acids,omega fatty acid,,
Omega-3 oils,omega oils,,
Omega-6,omega,,
Omega-6 Fatty Acids,omega fatty acid,,
Omega-9,omega,,
Omega3,omega,,
Palmitoyl dipeptide-5,palmitoyl dipeptide,,
PEG-100 Stearate,peg stearate,,
PEG-15 cocopolyamine,peg cocopolyamine,,
PEG-40,peg,,
PEG-7,peg,,
PEG-7 Glyceryl Cocoate,peg lyceryl cocoate,,
PEG-7 Oleate,peg oleate,,
PEG-8,peg,,
PMX-1501,pmx,,
PMX-245,pmx,,
Polquaternium-67,polyquaternium,,
Polquaternium-7,polyquaternium,,
Polyquaternium-10,polyquaternium,,
Polyquaternium-67,polyquaternium,,
Polyquaternium-7,polyquaternium,,
Povidone-iodine 10%,povidone iodine,,
Povidone K30,povidone k,,
Provitamin B5,provitamin b,,
Regen7,regen,,
S6,s,,
Strontium-89 chloride,strontium chloride,,
Tio2,tio,,
TiO2,tio,,
Tripeptide-1,tripeptide,,
Vit D3,vit d,,
Vitamin B1,vitamin b,,
Vitamin B12,vitamin b,,
Vitamin B2,vitamin b,,
Vitamin B3,vitamin b,,
Vitamin B5,vitamin b,,
Vitamin B6,vitamin b,,
Vitamin B7,vitamin b,,
Vitamin B8,vitamin b,,
Vitamin B9,vitamin b,,
Vitamin D2,vitamin d,,
Vitamin D3,vitamin d,,
Vitamin K1,vitamin k,,
Vitamin K2,vitamin k,,
Vitamin K4,vitamin k,,
Vitamins B1,vitamins b,,
Vitamins B12,vitamins b,,
Vitamins B2,vitamins b,,
Vitamins B6,vitamins b,,
