Old Name,New Name,Approve (Y/N),Notes
18-beta-Glycyrrhetic Acid,beta glycyrrhetic acid,,
18-Beta-Glycyrrhetic Acid,beta glycyrrhetic acid,,
400 IU,iu,,
Acerola powder,acerola,,
Acetyl-L-carnitine,acetyl l carnitine,,
Acetyl-L-Carnitine,acetyl l carnitine,,
Acetyl L-Carnitine,acetyl l carnitine,,
Acetylsalicylate-Caffeine,acetylsalicylate caffeine,,
Acetylsalicylic Acid-Caffeine,acetylsalicylic acid caffeine,,
Ado-trastuzumab emtansine,ado trastuzumab emtansine,,
African palm oil,african palm,,
Agar-agar,agar agar,,
Agar (Gelidiela acerosa),agar,,
Agar agar powder,agar agar,,
Agar wood oil,agar wood,,
Alcohol 80%,alcohol,,
Alkaline wash powder,alkaline wash,,
Alliin 1.5%,alliin,,
Allin-allicin,allin allicin,,
Allium sativum oil,allium sativum,,
Almond oil,almond,,
Almond Oil,almond,,
Aloe-apple pectin,aloe apple pectin,,
Aloe Barbadensis Leaf,aloe barbadensis,,
Aloe vera ext,aloe vera,,
Aloe vera ext.,aloe vera,,
Aloe vera gel,aloe vera,,
Aloe Vera Gel,aloe vera,,
Aloe vera leaves,aloe vera,,
Aloe vera oil,aloe vera,,
Aloe Vera Oil,aloe vera,,
Aloevera gel,aloevera,,
Alpha-arbutin,alpha arbutin,,
Alpha-Arbutin,alpha arbutin,,
Alpha-bisabolol,alpha bisabolol,,
Alpha-Bisabolol,alpha bisabolol,,
Alpha-chymotrypsin,alpha chymotrypsin,,
Alpha-D-glucosamine,alpha d glucosamine,,
Alpha-galactosidase,alpha galactosidase,,
Alpha-lactalbumin,alpha lactalbumin,,
Alpha-Linolenic Acid,alpha linolenic acid,,
Alpha-lipoic acid,alpha lipoic acid,,
Alpha-Lipoic Acid,alpha lipoic acid,,
Alpha-tocopherol,alpha tocopherol,,
Alpha-tocopherol acetate,alpha tocopherol acetate,,
Alpha keto analog of L-isoleucine,alpha keto analog of l isoleucine,,
Alpha keto analog of L-leucine,alpha keto analog of l leucine,,
Alpha keto analog of L-methionine,alpha keto analog of l methionine,,
Alpha keto analog of L-phenylalanine,alpha keto analog of l phenylalanine,,
Alpha keto analog of L-valine,alpha keto analog of l valine,,
Alumina gel,alumina,,
Aluminium hydroxide gel,aluminium hydroxide,,
Ambrosia Leaves,ambrosia,,
Amla oil,amla,,
Amla Oil,amla,,
Amygdalus dulcis oil,amygdalus dulcis,,
Anise fruit,anise,,
Anise oil,anise,,
Anise Oil,anise,,
Anise seed,anise,,
Aniseed Oil,aniseed,,
Anti-acne,anti acne,,
Anti-emetic,anti emetic,,
Anti-pertussis human vaccine,anti pertussis human vaccine,,
Anti-regurgitation milk formula,anti regurgitation milk formula,,
Anti-Rh factor,anti rh factor,,
Anti-scorpion serum,anti scorpion serum,,
Anti-snake venom,anti snake venom,,
Anti-snake venom serum,anti snake venom serum,,
Anti-tetanic serum,anti tetanic serum,,
Anti-tetanic vaccine,anti tetanic vaccine,,
Anti-thymocyte immunoglobulin,anti thymocyte immunoglobulin,,
Apricot kernel oil,apricot kernel,,
Apricot Kernel Oil,apricot kernel,,
Apricot oil,apricot,,
Apricot Oil,apricot,,
Aquagel 35,aquagel,,
Arachis hypogaea oil,arachis hypogaea,,
Arachis oil,arachis,,
Argan oil,argan,,
Argan Oil,argan,,
Argania spinosa kernel oil,argania spinosa kernel,,
Arnica oil,arnica,,
Artichoke leaves,artichoke,,
Ascorbic Acid (Vitamin C),ascorbic acid,,
ATP-co-carboxylase,atp co carboxylase,,
Avena Sativa (Oat),avena sativa,,
Avocado-Soybean Unsaponifiables,avocado soybean unsaponifiables,,
Avocado oil,avocado,,
Avocado Oil,avocado,,
B-sitosterol,b sitosterol,,
Bacillus Calmette-Guerin vaccine,bacillus calmette guerin vaccine,,
Basil Leaves,basil,,
Basil oil,basil,,
Benzophenone 3,benzophenone,,
Bergamot oil,bergamot,,
Beta-carotene,beta carotene,,
Beta-Carotene,beta carotene,,
Beta-sitosterol,b sitosterol,,
Beta-Sitosterol,b sitosterol,,
Bha (salicylic acid),bha,,
Bifidobacterium (5 billion),bifidobacterium,,
Bio-active oils,bio active oils,,
Bio-identical estrogen,bio identical estrogen,,
Bioactive liposomal colostrum (equivalent to 300mg IgG),bioactive liposomal colostrum,,
Bis-ethylhexyloxyphenol methoxyphenyl triazine,bis ethylhexyloxyphenol methoxyphenyl triazine,,
Black pepper powder,black pepper,,
Black seed,black,,
Black Seed,black,,
Black seed oil,black,,
Black Seed Oil,black,,
Black walnut leaf,black walnut,,
Blackcurrant seed oil,blackcurrant,,
Borage oil,borage,,
Borage seed oil,borage,,
Borage Seed Oil,borage,,
Boswellia carterii oil,boswellia carterii,,
Bovine Colostrum (Lactoferrin),bovine colostrum,,
Brewer,brewer s yeast,,
Brewer,brewer s yeast,,
Brigham Tea Root,brigham tea,,
Butcher,butcher s broom,,
C-Phycocyanin,c phycocyanin,,
C.S.,c s,,
Cactus oil,cactus,,
Cactus Oil,cactus,,
Cade Oil,cade,,
Calendula oil,calendula,,
Calendula Oil,calendula,,
Camellia flower,camellia,,
Camphor Bark Oil,camphor bark,,
Camphor crystals 3%,camphor crystals,,
Camphor oil,camphor,,
Camphor Oil,camphor,,
Camphora oil,camphora,,
Cannabis sativa seed oil,cannabis sativa,,
Canola oil,canola,,
Canola Oil,canola,,
Capryl/capramidopropyl betaine,capryl capramidopropyl betaine,,
Caprylic/capric triglyceride,caprylic capric triglyceride,,
Caprylic/Capric triglyceride,caprylic capric triglyceride,,
Caprylic/Capric Triglyceride,caprylic capric triglyceride,,
Capsicum oil,capsicum,,
Capsicum Oil,capsicum,,
Caraway oil,caraway,,
Caraway Oil,caraway,,
Caraway seed,caraway,,
Caraway seed oil,caraway,,
Carbadrine-procaine,carbadrine procaine,,
Carbomer 40,carbomer,,
Carbomer 940,carbomer,,
Carboxymethyl beta-glucan,carboxymethyl beta glucan,,
Carrot oil,carrot,,
Carrot Oil,carrot,,
Carrot powder,carrot,,
Carrot Seed Oil,carrot,,
Castor oil,castor,,
Castor Oil,castor,,
Castor Seed Oil,castor,,
Cedar Oil,cedar,,
Cedar wood oil,cedar wood,,
Ceftolozane+Tazobactam,ceftolozane tazobactam,,
Celery seed,celery,,
Ceramide 3,ceramide,,
Ch-CMC,ch cmc,,
Chamomile ext,chamomile,,
Chamomile oil,chamomile,,
Chamomile Oil,chamomile,,
Chicory leaves,chicory,,
Chicory Leaves,chicory,,
Chicory root,chicory,,
CI 75470,ci,,
Cinnamomum camphora bark oil,cinnamomum camphora bark,,
Cinnamomum Camphora Bark Oil,cinnamomum camphora bark,,
Cinnamomum camphora leaf oil,cinnamomum camphora,,
Cinnamon oil,cinnamon,,
Cinnamon Oil,cinnamon,,
Cis-linoleic acid,cis linoleic acid,,
Citronella Oil,citronella,,
Citrus aurantifolia fruit oil,citrus aurantifolia,,
Cleansing & Foaming System,cleansing foaming system,,
Clove Flower,clove,,
Clove oil,clove,,
Clove Oil,clove,,
Co-dergocrine,co dergocrine,,
Co-polymers,co polymers,,
Coco-glucoside,coco glucoside,,
Coco/Shea butter glycerides,coco shea butter glycerides,,
Cocoa powder,cocoa,,
Cocoa Powder,cocoa,,
Cocoa powder starch,cocoa starch,,
